name,date,temp,prcp,wdsp
SZCZECIN,2021-10-08,12,0.0,4.7
SZCZECIN,2021-12-15,7,0.0,4.9
KATOWICE,2021-08-07,19,0.06,7.6
OPOLE,2021-03-07,2,0.0,5.8
OPOLE,2021-05-27,14,0.0,5.5
OLSZTYN,2021-08-05,17,0.0,4.1
OLSZTYN,2021-10-03,13,0.0,6.6
ZIELONA GORA,2021-12-29,3,0.16,4.5
KATOWICE,2021-10-05,17,0.0,9.7
KATOWICE,2021-11-10,5,0.0,4.9
KATOWICE,2021-12-14,1,0.0,2.4
LUBLIN,2021-01-01,1,0.0,6.1
OPOLE,2021-10-17,8,0.0,2.8
OPOLE,2021-12-04,1,0.0,9
KIELCE,2021-07-02,18,0.06,6.5
ZIELONA GORA,2021-07-22,19,0.0,2.8
BIALYSTOK,2021-07-05,21,0.39,2.3
OPOLE,2021-10-09,7,0.0,4.3
OLSZTYN,2021-07-30,20,0.0,5.7
SZCZECIN,2021-07-04,20,0.0,3.3
SZCZECIN,2021-08-05,18,0.0,4.8
KATOWICE,2021-03-02,3,0.0,5.4
KATOWICE,2021-09-20,9,0.0,5.5
GDANSK,2021-08-02,18,0.17,7.3
OPOLE,2021-02-15,-7,0.0,3.2
OPOLE,2021-10-05,18,0.0,7.5
OLSZTYN,2021-05-23,12,0.0,5.6
ZIELONA GORA,2021-12-08,-2,0.0,7.4
GORZOW WLKP,2021-06-18,26,0.0,5
GORZOW WLKP,2021-06-25,19,0.03,3.3
GORZOW WLKP,2021-11-17,5,0.0,5.3
BIALYSTOK,2021-10-09,5,0.0,1.9
KATOWICE,2021-10-27,8,0.0,4.6
KATOWICE,2021-12-11,-2,0.0,2.7
GDANSK,2021-08-28,15,0.2,2.8
LUBLIN,2021-03-06,0,0.0,8.1
LUBLIN,2021-11-13,6,0.0,8.2
LUBLIN,2021-08-12,18,0.0,6.3
LUBLIN,2021-10-31,10,0.0,4.2
BIALYSTOK,2021-03-28,4,0.07,4.7
BIALYSTOK,2021-08-23,16,0.0,2.7
SZCZECIN,2021-06-22,18,0.0,6.6
KATOWICE,2021-10-20,15,0.0,13.4
LUBLIN,2021-04-27,3,0.0,3.5
OPOLE,2021-11-01,12,0.0,7.4
KIELCE,2021-06-07,18,0.0,2.9
OLSZTYN,2021-05-10,19,0.0,8.4
KATOWICE,2021-05-26,14,0.05,10.9
